"Age","Gender","Education.Level","Marital.Status","Income","Credit.Score","Loan.Amount","Loan.Purpose","Employment.Status","Years.at.Current.Job","Payment.History","Debt.to.Income.Ratio","Assets.Value","Number.of.Dependents","City","State","Country","Previous.Defaults","Marital.Status.Change","Risk.Rating"
49,"Male","PhD","Divorced",72799,688,45713,"Business","Unemployed",19,"Poor",0.154313296312701,120228,0,"Port Elizabeth","AS","Cyprus",2,2,"Low"
57,"Female","Bachelor's","Widowed",69773,690,33835,"Auto","Employed",6,"Fair",0.148919643224716,55849,0,"North Catherine","OH","Turkmenistan",3,2,"Medium"
21,"Non-binary","Master's","Single",55687,600,36623,"Home","Employed",8,"Fair",0.362398017325461,180700,3,"South Scott","OK","Luxembourg",3,2,"Medium"
59,"Male","Bachelor's","Single",26508,622,26541,"Personal","Unemployed",2,"Excellent",0.454964380733795,157319,3,"Robinhaven","PR","Uganda",4,2,"Medium"
25,"Non-binary","Bachelor's","Widowed",49427,766,36528,"Personal","Unemployed",10,"Fair",0.143242424020461,287140,2,"New Heather","IL","Namibia",3,1,"Low"
30,"Non-binary","PhD","Divorced",69773,717,15613,"Business","Unemployed",5,"Fair",0.295984450043085,159362,4,"Brianland","TN","Iceland",3,1,"Medium"
31,"Non-binary","Master's","Widowed",45280,672,6553,"Personal","Self-employed",1,"Good",0.378889937415318,159362,2,"West Lindaview","MD","Bouvet Island (Bouvetoya)",0,1,"Low"
18,"Male","Bachelor's","Widowed",93678,699,27544,"Business","Unemployed",10,"Poor",0.396635723616468,246597,1,"Melissahaven","MA","Honduras",1,1,"Low"
32,"Non-binary","Bachelor's","Widowed",20205,710,27544,"Auto","Unemployed",4,"Fair",0.335964977578598,227599,0,"North Beverly","DC","Pitcairn Islands",4,2,"Low"
55,"Male","Bachelor's","Married",32190,600,29918,"Personal","Self-employed",5,"Excellent",0.484333304559368,130507,4,"Davidstad","VT","Thailand",2,2,"Low"
42,"Non-binary","Master's","Single",116212,707,24771,"Home","Employed",11,"Excellent",0.114133747598295,212198,3,"Matthewborough","NH","French Guiana",0,2,"Medium"
37,"Non-binary","Master's","Divorced",78855,718,27544,"Home","Self-employed",17,"Poor",0.19392128861142,272522,2,"Orrstad","OH","Antarctica (the territory South of 60 deg S)",3,2,"Low"
60,"Female","PhD","Divorced",69773,686,15497,"Personal","Self-employed",18,"Poor",0.328174707422528,47603,4,"West Kelseymouth","NM","Eritrea",2,2,"High"
68,"Male","High School","Divorced",79454,688,43365,"Personal","Self-employed",15,"Good",0.329281543850365,61967,2,"Dakotafurt","IA","Grenada",3,0,"Medium"
29,"Male","High School","Divorced",119510,699,5013,"Auto","Employed",17,"Poor",0.499721861193341,50568,2,"Deborahtown","AZ","Solomon Islands",2,2,"Medium"
68,"Female","PhD","Divorced",69773,699,42951,"Auto","Self-employed",6,"Fair",0.550745935345898,67070,4,"East Kristin","MH","Guadeloupe",2,2,"Low"
55,"Male","High School","Married",70978,706,36970,"Personal","Unemployed",19,"Excellent",0.2669409092504,54041,3,"Christophermouth","MO","Tonga",1,0,"Medium"
18,"Female","Master's","Widowed",102628,654,25442,"Home","Unemployed",8,"Poor",0.161832578822512,159362,3,"West Patrick","IA","Taiwan",1,2,"Medium"
60,"Non-binary","Bachelor's","Divorced",69773,738,37001,"Business","Employed",7,"Fair",0.338970973186694,53055,2,"Johnsonstad","MS","Malawi",1,2,"Low"
56,"Non-binary","PhD","Married",21084,702,22039,"Personal","Employed",19,"Fair",0.231046374000313,226053,2,"East James","MP","Isle of Man",0,2,"Medium"
26,"Female","PhD","Divorced",51460,699,29970,"Business","Unemployed",19,"Excellent",0.43023258760059,252797,1,"West Jack","DE","Tonga",3,0,"Medium"
22,"Non-binary","PhD","Widowed",100169,796,27544,"Home","Employed",15,"Poor",0.174743185231767,259802,3,"Lake Alicia","UT","Kenya",2,0,"Medium"
